INDEX, action count,go_forward(go),go_forward(could not go),turn right,turn left, suck up,  cleaned cell(0)
1, 1886, 379, 114, 485, 530, 492, 83 
2, 1879, 358, 121, 521, 483, 517, 85 
3, 1917, 375, 83, 524, 514, 504, 90 
4, 1912, 421, 88, 507, 536, 448, 85 
5, 1867, 371, 133, 504, 486, 506, 87 
6, 1918, 382, 82, 513, 494, 529, 85 
7, 1895, 395, 105, 496, 493, 511, 82 
8, 1835, 330, 165, 498, 495, 512, 69 
9, 1899, 411, 101, 498, 524, 466, 82 
10, 1918, 409, 82, 464, 530, 515, 84 
11, 1890, 407, 110, 503, 497, 483, 87 
12, 1913, 438, 87, 480, 472, 523, 85 
13, 1935, 419, 65, 527, 495, 494, 87 
14, 1916, 421, 84, 446, 492, 557, 82 
15, 1879, 413, 121, 528, 468, 470, 88 
16, 1900, 413, 100, 520, 503, 464, 80 
17, 1873, 387, 127, 499, 474, 513, 82 
18, 1898, 409, 102, 490, 486, 513, 83 
19, 1903, 391, 97, 501, 508, 503, 83 
20, 1893, 415, 107, 487, 513, 478, 71 
21, 1927, 453, 73, 449, 543, 482, 92 
22, 1928, 419, 72, 521, 526, 462, 79 
23, 1903, 430, 97, 488, 462, 523, 73 
24, 1912, 418, 88, 492, 486, 516, 78 
25, 1947, 402, 53, 513, 530, 502, 79 
26, 1897, 418, 103, 467, 525, 487, 81 
27, 1937, 412, 63, 482, 509, 534, 83 
28, 1908, 394, 92, 512, 515, 487, 88 
29, 1918, 417, 82, 487, 512, 502, 71 
30, 1891, 362, 109, 525, 517, 487, 80 
31, 1905, 424, 95, 530, 486, 465, 75 
32, 1905, 413, 95, 508, 474, 510, 84 
33, 1917, 416, 83, 522, 486, 493, 82 
34, 1922, 392, 78, 506, 529, 495, 76 
35, 1922, 440, 78, 478, 488, 516, 82 
36, 1914, 404, 86, 490, 521, 499, 82 
37, 1908, 431, 92, 476, 504, 497, 85 
38, 1913, 455, 87, 476, 483, 499, 80 
39, 1902, 412, 98, 500, 517, 473, 75 
40, 1892, 390, 108, 507, 486, 509, 77 
41, 1919, 410, 81, 475, 494, 540, 79 
42, 1937, 443, 63, 507, 488, 499, 83 
43, 1917, 403, 83, 526, 495, 493, 78 
44, 1930, 399, 70, 524, 493, 514, 79 
45, 1909, 422, 91, 506, 490, 491, 83 
46, 1923, 415, 77, 504, 542, 462, 84 
47, 1873, 351, 127, 524, 502, 496, 58 
48, 1918, 422, 82, 504, 484, 508, 86 
49, 1938, 409, 62, 509, 498, 522, 81 
50, 1915, 404, 85, 511, 504, 496, 72 
51, 1888, 408, 112, 486, 478, 516, 88 
52, 1928, 420, 72, 508, 495, 505, 86 
53, 1877, 348, 123, 493, 531, 505, 81 
54, 1890, 383, 110, 471, 526, 510, 87 
55, 1912, 392, 88, 507, 500, 513, 77 
56, 1909, 402, 91, 520, 474, 513, 81 
57, 1897, 412, 103, 505, 479, 501, 84 
58, 1904, 407, 96, 507, 506, 484, 86 
59, 1888, 382, 112, 507, 510, 489, 80 
60, 1915, 406, 85, 495, 480, 534, 86 
61, 1892, 394, 108, 478, 499, 521, 83 
62, 1913, 456, 87, 514, 486, 457, 75 
63, 1887, 399, 113, 487, 487, 514, 88 
64, 1907, 413, 93, 507, 477, 510, 80 
65, 1904, 424, 96, 487, 503, 490, 92 
66, 1965, 465, 35, 465, 510, 525, 91 
67, 1917, 412, 83, 501, 487, 517, 66 
68, 1885, 379, 115, 542, 487, 477, 73 
69, 1925, 426, 75, 509, 510, 480, 87 
70, 1923, 415, 77, 505, 501, 502, 89 
71, 1916, 440, 84, 497, 473, 506, 78 
72, 1899, 404, 101, 487, 537, 471, 75 
73, 1897, 371, 103, 557, 492, 477, 81 
74, 1907, 370, 93, 537, 502, 498, 85 
75, 1905, 406, 95, 460, 516, 523, 82 
76, 1920, 447, 80, 471, 518, 484, 82 
77, 1901, 408, 99, 491, 492, 510, 76 
78, 1915, 412, 85, 502, 524, 477, 85 
79, 1918, 419, 82, 482, 467, 550, 85 
80, 1922, 439, 78, 473, 489, 521, 77 
81, 1908, 401, 92, 506, 497, 504, 74 
82, 1899, 394, 101, 498, 510, 497, 83 
