INDEX, action count,go_forward(go),go_forward(could not go),turn right,turn left, suck up,  cleaned cell(0)
1, 1849, 314, 151, 538, 482, 515, 74 
2, 1856, 321, 144, 517, 536, 482, 66 
3, 1855, 360, 145, 518, 512, 465, 76 
4, 1840, 330, 160, 485, 499, 526, 62 
5, 1847, 331, 153, 523, 499, 494, 75 
6, 1827, 334, 173, 501, 484, 508, 75 
7, 1824, 325, 176, 477, 492, 530, 78 
8, 1880, 364, 120, 497, 530, 489, 68 
9, 1841, 359, 159, 477, 520, 485, 49 
10, 1830, 343, 170, 512, 487, 488, 49 
11, 1868, 392, 132, 474, 479, 523, 89 
12, 1857, 348, 143, 511, 493, 505, 59 
13, 1829, 331, 171, 485, 496, 517, 70 
14, 1800, 329, 200, 499, 481, 491, 62 
15, 1823, 349, 177, 507, 493, 474, 56 
16, 1837, 343, 163, 518, 476, 500, 74 
17, 1850, 343, 150, 488, 502, 517, 67 
18, 1848, 361, 152, 491, 486, 510, 73 
19, 1860, 374, 140, 494, 523, 469, 72 
20, 1863, 353, 137, 486, 553, 471, 70 
21, 1854, 380, 146, 496, 502, 476, 65 
22, 1847, 363, 153, 475, 466, 543, 27 
23, 1887, 382, 113, 494, 504, 507, 71 
24, 1854, 347, 146, 507, 534, 466, 62 
25, 1831, 336, 169, 472, 497, 526, 80 
26, 1882, 343, 118, 490, 519, 530, 87 
27, 1828, 298, 172, 516, 521, 493, 73 
28, 1874, 377, 126, 481, 521, 495, 70 
29, 1809, 307, 191, 515, 510, 477, 34 
30, 1834, 354, 166, 538, 473, 469, 71 
31, 1860, 364, 140, 504, 478, 514, 83 
32, 1875, 355, 125, 533, 494, 493, 68 
33, 1850, 348, 150, 489, 513, 500, 38 
34, 1853, 355, 147, 485, 506, 507, 80 
35, 1852, 356, 148, 476, 534, 486, 62 
36, 1846, 358, 154, 488, 484, 516, 82 
37, 1838, 402, 162, 472, 490, 474, 70 
38, 1869, 354, 131, 503, 524, 488, 40 
39, 1854, 357, 146, 488, 478, 531, 64 
40, 1868, 345, 132, 505, 495, 523, 60 
41, 1851, 378, 149, 512, 475, 486, 80 
42, 1873, 358, 127, 510, 515, 490, 76 
43, 1854, 328, 146, 521, 485, 520, 67 
44, 1864, 344, 136, 529, 502, 489, 71 
45, 1852, 350, 148, 491, 543, 468, 67 
46, 1853, 341, 147, 517, 481, 514, 46 
47, 1878, 369, 122, 508, 497, 504, 83 
48, 1864, 343, 136, 530, 494, 497, 58 
49, 1847, 355, 153, 481, 492, 519, 57 
50, 1823, 341, 177, 511, 454, 517, 65 
51, 1873, 346, 127, 500, 544, 483, 59 
52, 1828, 318, 172, 467, 513, 530, 49 
53, 1847, 308, 153, 497, 532, 510, 65 
54, 1844, 359, 156, 480, 496, 509, 63 
55, 1845, 334, 155, 541, 457, 513, 79 
56, 1837, 347, 163, 507, 498, 485, 64 
57, 1841, 351, 159, 513, 486, 491, 79 
58, 1865, 338, 135, 485, 535, 507, 61 
59, 1832, 341, 168, 500, 458, 533, 64 
60, 1818, 323, 182, 504, 506, 485, 40 
61, 1840, 380, 160, 488, 488, 484, 47 
62, 1821, 319, 179, 503, 483, 516, 78 
63, 1857, 381, 143, 492, 488, 496, 55 
64, 1858, 359, 142, 487, 508, 504, 60 
65, 1886, 404, 114, 463, 486, 533, 81 
66, 1868, 334, 132, 542, 508, 484, 52 
67, 1823, 336, 177, 506, 488, 493, 66 
68, 1858, 356, 142, 535, 475, 492, 67 
69, 1839, 355, 161, 485, 525, 474, 43 
